index,fullname,age,email,score,isActive
53,Goldie,19,Goldie@yopmail.com,8.6,0
54,Alyssa,20,Alyssa@yopmail.com,9.1,0
55,Sarette,18,Sarette@yopmail.com,3.98,1
56,Siana,23,Siana@yopmail.com,5.67,0
57,Nessie,22,Nessie@yopmail.com,10.23,1
58,Roz,19,Roz@yopmail.com,5.59,1
59,Sara-Ann,23,Sara-Ann@yopmail.com,10.35,1
60,Hope,19,Hope@yopmail.com,8.04,0
61,Aaren,22,Aaren@yopmail.com,3.21,0
62,Netty,23,Netty@yopmail.com,9.17,0
63,Angela,22,Angela@yopmail.com,5.56,1
64,Rosanne,21,Rosanne@yopmail.com,7.77,0
65,Alyssa,20,Alyssa@yopmail.com,3.24,1
66,Shaine,18,Shaine@yopmail.com,1.57,0
67,Pearline,20,Pearline@yopmail.com,3.6,1
68,Calla,22,Calla@yopmail.com,2.84,0
69,Nyssa,23,Nyssa@yopmail.com,6.74,0
70,Siana,20,Siana@yopmail.com,5.68,0
71,Juliane,19,Juliane@yopmail.com,9.65,1
72,Rubie,18,Rubie@yopmail.com,5.74,1
73,Tobe,19,Tobe@yopmail.com,2.74,1
74,Emilia,19,Emilia@yopmail.com,9.22,0
75,Jillayne,20,Jillayne@yopmail.com,6.02,1
76,Brena,21,Brena@yopmail.com,2.95,0
77,Tina,19,Tina@yopmail.com,7.48,0
78,Britte,19,Britte@yopmail.com,8.41,1
79,Roseline,19,Roseline@yopmail.com,3.12,1
80,Marika,22,Marika@yopmail.com,5.97,0
81,Sheelagh,23,Sheelagh@yopmail.com,7.91,0
82,Madelle,21,Madelle@yopmail.com,4.17,1
83,Kaia,22,Kaia@yopmail.com,10.77,0
84,Ezmeralda,22,Ezmeralda@yopmail.com,10.9,1
85,Marinna,18,Marinna@yopmail.com,6.76,1
86,Basia,19,Basia@yopmail.com,5.22,0
87,Micheline,20,Micheline@yopmail.com,5.01,1
88,Concettina,22,Concettina@yopmail.com,6.68,0
89,Rochette,18,Rochette@yopmail.com,4.64,1
90,Philis,18,Philis@yopmail.com,7.56,1
91,Hildegaard,18,Hildegaard@yopmail.com,1.39,0
92,Gabriellia,23,Gabriellia@yopmail.com,5.6,0
93,Gilligan,19,Gilligan@yopmail.com,9.41,1
94,Melodie,19,Melodie@yopmail.com,8.17,0
95,Elsie,19,Elsie@yopmail.com,1.24,1
96,Elmira,22,Elmira@yopmail.com,7.03,0
97,Cherilyn,22,Cherilyn@yopmail.com,10.66,0
98,Verla,19,Verla@yopmail.com,9.67,0
99,Diena,21,Diena@yopmail.com,3.28,0
100,Glenda,23,Glenda@yopmail.com,1.02,1
101,Ursulina,18,Ursulina@yopmail.com,4.55,1
102,Perry,19,Perry@yopmail.com,4.47,1
103,Keelia,18,Keelia@yopmail.com,6.59,0
104,Therine,18,Therine@yopmail.com,6.76,0
105,Gerianna,18,Gerianna@yopmail.com,8.81,0
106,Raquela,22,Raquela@yopmail.com,2.56,1
107,Candi,22,Candi@yopmail.com,2.68,1
108,Catharine,18,Catharine@yopmail.com,7.86,1
109,Brana,21,Brana@yopmail.com,4.47,1
110,Jenilee,23,Jenilee@yopmail.com,7.85,0
111,Ira,18,Ira@yopmail.com,3.16,1
112,Thalia,21,Thalia@yopmail.com,9.35,0
113,Vonny,20,Vonny@yopmail.com,8.94,1
114,Brooks,20,Brooks@yopmail.com,2.47,0
115,Gertrud,23,Gertrud@yopmail.com,10.96,1
116,Jany,19,Jany@yopmail.com,10.64,1
117,Cristabel,20,Cristabel@yopmail.com,1.02,0
118,Belinda,18,Belinda@yopmail.com,1.95,0
119,Charlena,20,Charlena@yopmail.com,1.73,1
120,Catharine,19,Catharine@yopmail.com,10.78,1
121,Concettina,23,Concettina@yopmail.com,5.57,1
122,Marjie,20,Marjie@yopmail.com,4.76,1
123,Evita,21,Evita@yopmail.com,7.92,0
124,Madelle,21,Madelle@yopmail.com,8.32,0
125,Sybille,21,Sybille@yopmail.com,8.66,1
126,Robinia,18,Robinia@yopmail.com,4.52,1
127,Stacey,20,Stacey@yopmail.com,5.17,1
128,Gertrud,18,Gertrud@yopmail.com,4.39,1
129,Jessamyn,20,Jessamyn@yopmail.com,1.27,1
130,Sue,18,Sue@yopmail.com,3.47,0
131,Daune,18,Daune@yopmail.com,6.93,1
132,Mariele,22,Mariele@yopmail.com,6.32,1
133,Pamella,19,Pamella@yopmail.com,4.48,1
134,Paule,21,Paule@yopmail.com,1.83,1
135,Elsie,20,Elsie@yopmail.com,5.94,0
136,Marylou,19,Marylou@yopmail.com,8.23,0
137,Christian,22,Christian@yopmail.com,1.82,1
138,Rivalee,20,Rivalee@yopmail.com,10.82,0
139,Aubrie,19,Aubrie@yopmail.com,2.77,1
140,Meg,21,Meg@yopmail.com,4.2,1
141,Zaria,21,Zaria@yopmail.com,6.61,1
142,Taffy,19,Taffy@yopmail.com,4.24,1
143,Corly,18,Corly@yopmail.com,3.37,1
144,Quintina,23,Quintina@yopmail.com,7.36,1
145,Lizzie,21,Lizzie@yopmail.com,9.76,1
146,Evaleen,19,Evaleen@yopmail.com,2.8,1
147,Gabi,22,Gabi@yopmail.com,10.09,0
148,Merci,23,Merci@yopmail.com,1.4,0
149,Henriette,22,Henriette@yopmail.com,7,1
150,Raquela,20,Raquela@yopmail.com,6.45,1
151,Drucie,21,Drucie@yopmail.com,6.53,0
152,Phylis,22,Phylis@yopmail.com,4.94,1
153,Tersina,21,Tersina@yopmail.com,7.41,0
154,Linzy,18,Linzy@yopmail.com,3.58,1
155,Gisela,19,Gisela@yopmail.com,1.81,1
156,Ethel,19,Ethel@yopmail.com,10.11,0
157,Merrie,19,Merrie@yopmail.com,6.76,0
158,Jerry,22,Jerry@yopmail.com,2.75,1
159,Alameda,18,Alameda@yopmail.com,4.17,0
160,Jobi,23,Jobi@yopmail.com,5.09,0
161,Lesly,21,Lesly@yopmail.com,9.35,1
162,Frieda,19,Frieda@yopmail.com,1.39,0
163,Sheree,22,Sheree@yopmail.com,7.39,1
164,Sadie,23,Sadie@yopmail.com,5.63,0
165,Basia,23,Basia@yopmail.com,3.58,0
166,Andree,18,Andree@yopmail.com,4.64,1
167,Lorne,20,Lorne@yopmail.com,6.78,1
168,Kore,20,Kore@yopmail.com,4.74,0
169,Ivett,18,Ivett@yopmail.com,3.4,0
170,Deirdre,23,Deirdre@yopmail.com,4.11,0
171,Glynnis,20,Glynnis@yopmail.com,7.37,0
172,Charissa,22,Charissa@yopmail.com,1.55,0
173,Paule,22,Paule@yopmail.com,5.84,0
174,Fayre,19,Fayre@yopmail.com,5.43,0
175,Genevra,20,Genevra@yopmail.com,10.37,1
176,Karlee,18,Karlee@yopmail.com,8.83,0
177,Fanchon,23,Fanchon@yopmail.com,10.43,0
178,Cecile,23,Cecile@yopmail.com,7.31,0
179,Augustine,23,Augustine@yopmail.com,3.87,0
180,Nadine,20,Nadine@yopmail.com,7.98,0
181,Juliane,22,Juliane@yopmail.com,5.67,1
182,Allyce,19,Allyce@yopmail.com,3.4,0
183,Chloris,20,Chloris@yopmail.com,9.94,0
184,Sharlene,22,Sharlene@yopmail.com,8.18,0
185,Kore,21,Kore@yopmail.com,10.77,0
186,Odessa,20,Odessa@yopmail.com,4.97,0
187,Rochette,20,Rochette@yopmail.com,5.09,0
188,Modestia,20,Modestia@yopmail.com,9.53,0
189,Charmaine,22,Charmaine@yopmail.com,6.15,0
190,Jan,22,Jan@yopmail.com,9.17,1
191,Rosanne,21,Rosanne@yopmail.com,5.83,0
192,Ada,20,Ada@yopmail.com,1.27,1
193,Modestia,21,Modestia@yopmail.com,1.17,0
194,Darci,20,Darci@yopmail.com,6.27,0
195,Dawn,20,Dawn@yopmail.com,8.19,1
196,Jaime,22,Jaime@yopmail.com,5.06,1
197,Jolyn,18,Jolyn@yopmail.com,6.11,0
198,Tracey,22,Tracey@yopmail.com,8.45,1
199,Roseline,18,Roseline@yopmail.com,8.15,0
200,Melanie,22,Melanie@yopmail.com,6.12,0
201,Odessa,19,Odessa@yopmail.com,5.33,0
202,Wynne,23,Wynne@yopmail.com,3.27,0
203,Eugine,20,Eugine@yopmail.com,1.6,0
204,Cindelyn,22,Cindelyn@yopmail.com,3.03,0
205,Codie,19,Codie@yopmail.com,10.43,1
206,Calla,20,Calla@yopmail.com,2.02,1
207,Georgetta,19,Georgetta@yopmail.com,1.42,0
208,Neila,18,Neila@yopmail.com,10.26,1
209,Agathe,18,Agathe@yopmail.com,2.02,1
210,Sherrie,21,Sherrie@yopmail.com,7.23,1
211,Joane,22,Joane@yopmail.com,10.42,1
212,Julieta,22,Julieta@yopmail.com,6.14,1
213,June,20,June@yopmail.com,5.49,1
214,Courtnay,20,Courtnay@yopmail.com,8.73,1
215,Berta,23,Berta@yopmail.com,4.97,0
216,Chastity,21,Chastity@yopmail.com,2.92,0
217,Gaylene,21,Gaylene@yopmail.com,5.92,1
218,Brana,23,Brana@yopmail.com,1.44,0
219,Catharine,20,Catharine@yopmail.com,2.45,1
220,Janis,22,Janis@yopmail.com,10.09,0
221,Lily,18,Lily@yopmail.com,6.19,1
222,Barbara,20,Barbara@yopmail.com,9.45,1
223,Jany,20,Jany@yopmail.com,8.87,1
224,Tybie,23,Tybie@yopmail.com,6,0
225,Hannis,22,Hannis@yopmail.com,2.33,1
226,Helsa,21,Helsa@yopmail.com,3.43,0
227,Farrah,20,Farrah@yopmail.com,7.01,0
228,Chere,20,Chere@yopmail.com,4.58,0
229,Belinda,20,Belinda@yopmail.com,7.89,1
230,Fred,22,Fred@yopmail.com,5.5,1
231,Jorry,22,Jorry@yopmail.com,7.65,1
232,Veda,22,Veda@yopmail.com,7.5,1
233,Barbi,23,Barbi@yopmail.com,5.33,1
234,Odessa,18,Odessa@yopmail.com,2.79,0
235,Katleen,20,Katleen@yopmail.com,1.89,0
236,Flo,21,Flo@yopmail.com,5.84,1
237,Dorthy,21,Dorthy@yopmail.com,7.72,1
238,Elena,22,Elena@yopmail.com,7.11,1
239,Damaris,22,Damaris@yopmail.com,4.51,0
240,Leanna,22,Leanna@yopmail.com,1.08,1
241,Diena,21,Diena@yopmail.com,8.75,1
242,Nerta,20,Nerta@yopmail.com,5.57,0
243,Charlena,21,Charlena@yopmail.com,9.73,0
244,Julieta,20,Julieta@yopmail.com,1.25,1
245,Orsola,21,Orsola@yopmail.com,2.96,0
246,Maye,21,Maye@yopmail.com,7.15,0
247,Sonni,23,Sonni@yopmail.com,3.4,0
248,Gabi,22,Gabi@yopmail.com,9.27,1
249,Alyda,20,Alyda@yopmail.com,2.04,1
250,Ketti,20,Ketti@yopmail.com,8.13,1
251,Atlanta,22,Atlanta@yopmail.com,4.77,1
252,Nelle,22,Nelle@yopmail.com,9.52,0
253,Angela,18,Angela@yopmail.com,4.78,1
254,Chloris,23,Chloris@yopmail.com,4.76,1
255,Annora,19,Annora@yopmail.com,3.49,1
256,Selia,18,Selia@yopmail.com,9.97,1
257,June,22,June@yopmail.com,8.28,0
258,Paola,23,Paola@yopmail.com,5.13,1
259,Deirdre,23,Deirdre@yopmail.com,4.47,1
260,Tiffie,23,Tiffie@yopmail.com,8.37,0
261,Donetta,19,Donetta@yopmail.com,6.25,1
262,Jessy,19,Jessy@yopmail.com,8.73,1
263,Silvana,23,Silvana@yopmail.com,8.08,0
264,Nita,23,Nita@yopmail.com,9.33,1
265,Ninnetta,20,Ninnetta@yopmail.com,7.87,0
266,Alameda,21,Alameda@yopmail.com,7.79,0
267,Emma,23,Emma@yopmail.com,6.23,0
268,Janey,19,Janey@yopmail.com,10.21,0
269,Pollyanna,19,Pollyanna@yopmail.com,9.16,0
270,Dominga,23,Dominga@yopmail.com,8.7,0
271,Aryn,23,Aryn@yopmail.com,7.63,1
272,Agathe,22,Agathe@yopmail.com,5.86,0
273,Jasmina,20,Jasmina@yopmail.com,4.61,0
274,Charmaine,21,Charmaine@yopmail.com,4.79,1
275,Hope,23,Hope@yopmail.com,4.8,0
276,Romona,23,Romona@yopmail.com,10,1
277,Sonni,20,Sonni@yopmail.com,3.9,1
278,Tera,22,Tera@yopmail.com,3.3,1
279,Farrah,18,Farrah@yopmail.com,5.59,1
280,Lory,18,Lory@yopmail.com,2.63,1
281,Edyth,18,Edyth@yopmail.com,7.57,1
282,Neila,23,Neila@yopmail.com,7.93,0
283,Madelle,21,Madelle@yopmail.com,8.53,0
284,Marinna,18,Marinna@yopmail.com,9.87,1
285,Vevay,20,Vevay@yopmail.com,5.9,1
286,Xylina,19,Xylina@yopmail.com,10.58,1
287,Candi,18,Candi@yopmail.com,7.49,1
288,Carmencita,22,Carmencita@yopmail.com,1.6,0
289,Willetta,18,Willetta@yopmail.com,2.51,0
290,Britte,22,Britte@yopmail.com,4.6,0
291,Joy,21,Joy@yopmail.com,7.26,0
292,Debee,18,Debee@yopmail.com,4.69,1
293,Stevana,22,Stevana@yopmail.com,5.61,1
294,Kalina,18,Kalina@yopmail.com,6.32,1
295,Fernande,19,Fernande@yopmail.com,5.76,0
296,Chandra,23,Chandra@yopmail.com,1.51,1
297,Margette,20,Margette@yopmail.com,7.76,1
298,Ethel,22,Ethel@yopmail.com,6.48,1
299,Molli,23,Molli@yopmail.com,4.55,0
300,Jacquetta,18,Jacquetta@yopmail.com,8.43,0
301,Ernesta,19,Ernesta@yopmail.com,1.91,0
302,Charmaine,21,Charmaine@yopmail.com,2.55,1
303,Olivette,18,Olivette@yopmail.com,8.67,1
304,Kore,21,Kore@yopmail.com,9.64,1
305,Liana,23,Liana@yopmail.com,7.7,1
306,Brianna,18,Brianna@yopmail.com,6.16,1
307,Paola,21,Paola@yopmail.com,7.28,0
308,Roseline,22,Roseline@yopmail.com,1.1,0
309,Lanae,19,Lanae@yopmail.com,6.54,1
310,Merci,20,Merci@yopmail.com,10.07,0
311,Jorry,19,Jorry@yopmail.com,1.04,1
312,Lanae,19,Lanae@yopmail.com,10.37,0
313,Jinny,19,Jinny@yopmail.com,6.95,1
314,Jinny,18,Jinny@yopmail.com,1.6,1
315,Aurore,19,Aurore@yopmail.com,3.53,0
316,Demetris,21,Demetris@yopmail.com,4.43,0
317,Aubrie,18,Aubrie@yopmail.com,9.69,0
318,Georgetta,23,Georgetta@yopmail.com,1.89,1
319,Susette,22,Susette@yopmail.com,2.33,0
320,Ayn,20,Ayn@yopmail.com,10.51,1
321,Alisha,18,Alisha@yopmail.com,4.9,1
322,Lulita,23,Lulita@yopmail.com,6.19,1
323,Sheelagh,18,Sheelagh@yopmail.com,6.97,0
324,Alyssa,19,Alyssa@yopmail.com,1.54,1
325,Ileana,21,Ileana@yopmail.com,2.4,1
326,Raquela,21,Raquela@yopmail.com,7.95,0
327,Elfreda,19,Elfreda@yopmail.com,4.55,1
328,Dari,23,Dari@yopmail.com,6.25,0
329,Nanete,22,Nanete@yopmail.com,8.85,0
330,Collen,21,Collen@yopmail.com,6.71,0
331,Bernardine,22,Bernardine@yopmail.com,3.06,0
332,Alleen,21,Alleen@yopmail.com,5.58,1
333,Renie,20,Renie@yopmail.com,6.27,1
334,Jan,19,Jan@yopmail.com,7.23,1
335,Kittie,18,Kittie@yopmail.com,9.77,0
336,Fanny,21,Fanny@yopmail.com,1.14,1
337,Vere,18,Vere@yopmail.com,1.13,0
338,Gwyneth,21,Gwyneth@yopmail.com,5.79,1
339,Tina,20,Tina@yopmail.com,6.12,0
340,Helena,20,Helena@yopmail.com,3.33,0
341,Lyssa,23,Lyssa@yopmail.com,10.47,0
342,Rhea,20,Rhea@yopmail.com,5.15,1
343,Joy,22,Joy@yopmail.com,2.83,1
344,Hettie,22,Hettie@yopmail.com,7.99,0
345,Starla,20,Starla@yopmail.com,3.21,0
346,Katharina,21,Katharina@yopmail.com,3.41,0
347,Selma,21,Selma@yopmail.com,9.62,1
348,Blinni,21,Blinni@yopmail.com,3.36,1
349,Doro,22,Doro@yopmail.com,8.15,0
350,Tybie,19,Tybie@yopmail.com,3.16,0
351,Helsa,21,Helsa@yopmail.com,5.21,0
352,Trixi,18,Trixi@yopmail.com,4.72,0
353,Melisent,23,Melisent@yopmail.com,7.1,0
354,Phylis,21,Phylis@yopmail.com,1.86,1
355,Willetta,19,Willetta@yopmail.com,2.3,1
356,Roseline,22,Roseline@yopmail.com,4.25,0
357,Aimil,21,Aimil@yopmail.com,3.11,0
358,Minda,19,Minda@yopmail.com,8.04,1
359,Annabela,20,Annabela@yopmail.com,5.08,1
360,Starla,22,Starla@yopmail.com,7.6,0
361,Dania,21,Dania@yopmail.com,6.31,1
362,Clary,18,Clary@yopmail.com,1.82,0
363,Candy,18,Candy@yopmail.com,5.88,0
364,Marylou,19,Marylou@yopmail.com,9.1,0
365,Aaren,22,Aaren@yopmail.com,6.52,1
366,Christal,22,Christal@yopmail.com,9.54,1
367,Carmencita,18,Carmencita@yopmail.com,6.64,1
368,Hildegaard,22,Hildegaard@yopmail.com,10.2,1
369,Nollie,20,Nollie@yopmail.com,5.98,1
370,Ariela,20,Ariela@yopmail.com,10.77,0
371,Charissa,23,Charissa@yopmail.com,8.11,0
372,Fawne,22,Fawne@yopmail.com,4.88,0
373,Carree,22,Carree@yopmail.com,5.09,1
374,Tiffie,20,Tiffie@yopmail.com,6.41,1
375,Dorice,22,Dorice@yopmail.com,5.35,1
376,Candi,20,Candi@yopmail.com,1.27,0
377,Cyb,18,Cyb@yopmail.com,7.7,0
378,Corly,19,Corly@yopmail.com,6.95,1
379,Lorne,20,Lorne@yopmail.com,6.77,0
380,Kristan,22,Kristan@yopmail.com,8.35,0
381,Molli,23,Molli@yopmail.com,9.56,0
382,Catrina,21,Catrina@yopmail.com,4.24,0
383,Ernesta,22,Ernesta@yopmail.com,3.61,0
384,Tina,23,Tina@yopmail.com,1.2,1
385,Camile,22,Camile@yopmail.com,5.55,1
386,Kial,18,Kial@yopmail.com,5.05,0
387,Jessamyn,23,Jessamyn@yopmail.com,10.14,1
388,Wanda,19,Wanda@yopmail.com,7.86,1
389,Jasmina,18,Jasmina@yopmail.com,10.82,0
390,Ottilie,21,Ottilie@yopmail.com,9.6,0
391,Darci,19,Darci@yopmail.com,2.41,0
392,Belva,20,Belva@yopmail.com,3.11,0
393,Blinni,21,Blinni@yopmail.com,8.59,1
394,Babita,21,Babita@yopmail.com,4.01,1
395,Kristina,19,Kristina@yopmail.com,1.98,1
396,Kittie,18,Kittie@yopmail.com,2.75,1
397,Margarette,21,Margarette@yopmail.com,10.82,1
398,Marinna,22,Marinna@yopmail.com,4.3,1
399,Donetta,23,Donetta@yopmail.com,1.23,1
400,Bernardine,22,Bernardine@yopmail.com,5.78,1
401,Dianemarie,22,Dianemarie@yopmail.com,2.93,1
402,Laurene,22,Laurene@yopmail.com,10.69,0
403,Aurelie,20,Aurelie@yopmail.com,10.3,0
404,Kaja,23,Kaja@yopmail.com,9.49,0
405,Cherilyn,18,Cherilyn@yopmail.com,4.27,0
406,Eadie,22,Eadie@yopmail.com,2.31,0
407,Gilligan,21,Gilligan@yopmail.com,2.85,0
408,Sarette,18,Sarette@yopmail.com,3.98,0
409,Petronia,20,Petronia@yopmail.com,9.62,1
410,Alyssa,23,Alyssa@yopmail.com,5.5,1
411,Libbie,21,Libbie@yopmail.com,5.52,1
412,Inga,23,Inga@yopmail.com,4.23,1
413,Mamie,20,Mamie@yopmail.com,8.68,1
414,Jennica,21,Jennica@yopmail.com,1.1,0
415,Helena,21,Helena@yopmail.com,4,0
416,Elyssa,21,Elyssa@yopmail.com,1.47,0
417,Paola,19,Paola@yopmail.com,9.01,0
418,Latisha,19,Latisha@yopmail.com,8.31,0
419,Estell,19,Estell@yopmail.com,7.98,0
420,Danny,23,Danny@yopmail.com,8.59,0
421,Shaylyn,23,Shaylyn@yopmail.com,3.28,1
422,Randa,20,Randa@yopmail.com,1.17,0
423,Heida,21,Heida@yopmail.com,7.88,0
424,Josephine,18,Josephine@yopmail.com,7.14,1
425,Deirdre,23,Deirdre@yopmail.com,8.49,1
426,Valera,20,Valera@yopmail.com,4.28,1
427,Bernardine,23,Bernardine@yopmail.com,2.74,0
428,Dagmar,23,Dagmar@yopmail.com,1.36,1
429,Danika,22,Danika@yopmail.com,3.94,0
430,Daphne,21,Daphne@yopmail.com,1.88,0
431,Mady,23,Mady@yopmail.com,4.33,1
432,Vita,20,Vita@yopmail.com,4.63,1
433,Ekaterina,22,Ekaterina@yopmail.com,3.48,1
434,Brana,19,Brana@yopmail.com,10.06,1
435,Christy,23,Christy@yopmail.com,7.39,0
436,Gisela,21,Gisela@yopmail.com,4.41,0
437,Lucy,20,Lucy@yopmail.com,5.36,0
438,Teddie,19,Teddie@yopmail.com,5.96,0
439,Sallie,21,Sallie@yopmail.com,1.97,1
440,Wileen,22,Wileen@yopmail.com,2.85,1
441,Marline,18,Marline@yopmail.com,8.22,1
442,Chandra,21,Chandra@yopmail.com,9.45,0
443,Leeanne,23,Leeanne@yopmail.com,6.42,1
444,Tybie,22,Tybie@yopmail.com,4.52,1
445,Valeda,21,Valeda@yopmail.com,10.9,0
446,Corly,22,Corly@yopmail.com,1.18,0
447,Marnia,23,Marnia@yopmail.com,5.7,1
448,Josephine,21,Josephine@yopmail.com,2.19,0
449,Dominga,18,Dominga@yopmail.com,9.28,0
450,Trixi,20,Trixi@yopmail.com,10.42,0
451,Ingrid,20,Ingrid@yopmail.com,6.62,1
452,Emylee,19,Emylee@yopmail.com,3.23,0
453,Bettine,21,Bettine@yopmail.com,8.12,0
454,Zia,22,Zia@yopmail.com,7.05,1
455,Raquela,19,Raquela@yopmail.com,1.27,1
456,Lorie,22,Lorie@yopmail.com,9.9,0
457,Claudina,21,Claudina@yopmail.com,5.24,0
458,Sissy,23,Sissy@yopmail.com,4.58,0
459,Babita,19,Babita@yopmail.com,10.45,1
460,Candy,19,Candy@yopmail.com,5.34,0
461,Loree,23,Loree@yopmail.com,7.73,0
462,Cristabel,19,Cristabel@yopmail.com,8.24,0
463,Alie,23,Alie@yopmail.com,1.01,0
464,Sara-Ann,22,Sara-Ann@yopmail.com,4.1,1
465,Glenda,18,Glenda@yopmail.com,10.78,1
466,Ayn,19,Ayn@yopmail.com,4.8,1
467,Nadine,20,Nadine@yopmail.com,9.31,0
468,Deedee,23,Deedee@yopmail.com,1.29,1
469,Doralynne,19,Doralynne@yopmail.com,4.39,0
470,Hope,22,Hope@yopmail.com,8.45,0
471,Babita,23,Babita@yopmail.com,7.41,1
472,Debee,21,Debee@yopmail.com,10.82,1
473,Betta,20,Betta@yopmail.com,3.38,0
474,Kayla,19,Kayla@yopmail.com,2.14,0
475,Janey,23,Janey@yopmail.com,8.77,1
476,Wendi,21,Wendi@yopmail.com,8.69,0
477,Annecorinne,22,Annecorinne@yopmail.com,8.33,0
478,Ruthe,18,Ruthe@yopmail.com,2.6,1
479,Deloria,21,Deloria@yopmail.com,7.91,1
480,Esmeralda,20,Esmeralda@yopmail.com,9.42,0
481,Jorry,23,Jorry@yopmail.com,7.2,1
482,Liana,19,Liana@yopmail.com,1.02,1
483,Brietta,19,Brietta@yopmail.com,3.07,1
484,Leia,19,Leia@yopmail.com,9.91,0
485,Benita,21,Benita@yopmail.com,2.46,1
486,Quintina,19,Quintina@yopmail.com,4.53,1
487,Belinda,18,Belinda@yopmail.com,9.85,0
488,Robbi,23,Robbi@yopmail.com,2.94,0
489,Celestyna,23,Celestyna@yopmail.com,2.57,0
490,Jeanna,18,Jeanna@yopmail.com,10.78,1
491,Marcelline,23,Marcelline@yopmail.com,5.19,1
492,Jennica,23,Jennica@yopmail.com,5.59,1
493,Viki,23,Viki@yopmail.com,10.58,1
494,Drucie,18,Drucie@yopmail.com,7.92,0
495,Kassey,22,Kassey@yopmail.com,1.12,1
496,Sam,19,Sam@yopmail.com,8.05,0
497,Dianemarie,22,Dianemarie@yopmail.com,2.89,1
498,Augustine,19,Augustine@yopmail.com,10.22,1
499,Chere,21,Chere@yopmail.com,8,0
500,Chickie,19,Chickie@yopmail.com,8.58,1
501,Minne,21,Minne@yopmail.com,4.51,0
502,Cassandra,22,Cassandra@yopmail.com,3.53,0
503,Ekaterina,22,Ekaterina@yopmail.com,1.96,0
504,Sheelagh,21,Sheelagh@yopmail.com,10.2,0
505,Farrah,21,Farrah@yopmail.com,10.79,0
506,Natka,18,Natka@yopmail.com,5.05,0
507,Mallory,20,Mallory@yopmail.com,4.47,1
508,Evita,22,Evita@yopmail.com,9.31,0
509,Selma,23,Selma@yopmail.com,10.94,0
510,Doralynne,20,Doralynne@yopmail.com,8.75,0
511,Roseline,21,Roseline@yopmail.com,5.99,1
512,Lelah,22,Lelah@yopmail.com,10.14,0
513,Roseline,19,Roseline@yopmail.com,6.72,1
514,Deane,18,Deane@yopmail.com,10.68,0
515,Althea,22,Althea@yopmail.com,8.34,1
516,Teddie,21,Teddie@yopmail.com,7.53,1
517,Katharina,21,Katharina@yopmail.com,7.69,1
518,Allyce,18,Allyce@yopmail.com,8.95,1
519,Barbara,21,Barbara@yopmail.com,5.05,0
520,Brietta,23,Brietta@yopmail.com,6.46,0
